# package	version	Installed-Size(KiB)	Size(bytes)	source	Filename-URL
adwaita-icon-theme	46.0+ios1	0	971106	maxleiter	https://repo.maxleiter.com/debs/adwaita-icon-theme_46.0+ios1_iphoneos-arm64.deb
angle	2.1.0+git20260630.a32d31d+es3-16	13512	3946928	maxleiter	https://repo.maxleiter.com/debs/angle_2.1.0+git20260630.a32d31d+es3-16_iphoneos-arm64.deb
bash	5.2.21	4704	568806	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/bash/bash_5.2.21_iphoneos-arm64.deb
ca-certificates	20240602	232	128768	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/cacerts/ca-certificates_20240602_all.deb
coreutils	9.5	26668	2866666	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/coreutils/coreutils_9.5_iphoneos-arm64.deb
dash	0.5.12	188	75658	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/dash/dash_0.5.12_iphoneos-arm64.deb
dbus	1.14.10+ios1	1480	312340	maxleiter	https://repo.maxleiter.com/debs/dbus_1.14.10+ios1_iphoneos-arm64.deb
debianutils	5.19	352	68128	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/debianutils/debianutils_5.19_iphoneos-arm64.deb
file-cmds	430.100.5	624	91464	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/file-cmds/file-cmds_430.100.5_iphoneos-arm64.deb
fontconfig	2.17.1+ios1	704	63530	maxleiter	https://repo.maxleiter.com/debs/fontconfig_2.17.1+ios1_iphoneos-arm64.deb
fontconfig-config	2.17.1+ios1	428	65474	maxleiter	https://repo.maxleiter.com/debs/fontconfig-config_2.17.1+ios1_iphoneos-arm64.deb
foot	1.27.0+ios3	1112	232812	maxleiter	https://repo.maxleiter.com/debs/foot_1.27.0+ios3_iphoneos-arm64.deb
gnome-text-editor	46.3+ios1	3504	573400	maxleiter	https://repo.maxleiter.com/debs/gnome-text-editor_46.3+ios1_iphoneos-arm64.deb
grep	3.11	1124	307560	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/grep/grep_3.11_iphoneos-arm64.deb
gsettings-desktop-schemas	46.1+ios1	6016	959174	maxleiter	https://repo.maxleiter.com/debs/gsettings-desktop-schemas_46.1+ios1_iphoneos-arm64.deb
hicolor-icon-theme	0.17+ios1	0	12766	maxleiter	https://repo.maxleiter.com/debs/hicolor-icon-theme_0.17+ios1_iphoneos-arm64.deb
iosc	0.9.47	708	164416	maxleiter	https://repo.maxleiter.com/debs/iosc_0.9.47_iphoneos-arm64.deb
iosc-shell	0.9.11	452	74612	maxleiter	https://repo.maxleiter.com/debs/iosc-shell_0.9.11_iphoneos-arm64.deb
libadwaita-1-0	1.5.0+ios1	1880	404264	maxleiter	https://repo.maxleiter.com/debs/libadwaita-1-0_1.5.0+ios1_iphoneos-arm64.deb
libappstream5	1.0.3+ios1	4072	895106	maxleiter	https://repo.maxleiter.com/debs/libappstream5_1.0.3+ios1_iphoneos-arm64.deb
libatk1.0-0	2.52.0+ios2	264	69478	maxleiter	https://repo.maxleiter.com/debs/libatk1.0-0_2.52.0+ios2_iphoneos-arm64.deb
libbrotli1	1.1.0+ios1	1036	413124	maxleiter	https://repo.maxleiter.com/debs/libbrotli1_1.1.0+ios1_iphoneos-arm64.deb
libcairo-gobject2	1.16.0-3+ios1	192	102076	maxleiter	https://repo.maxleiter.com/debs/libcairo-gobject2_1.16.0-3+ios1_iphoneos-arm64.deb
libcairo-script-interpreter2	1.16.0-3+ios1	288	131836	maxleiter	https://repo.maxleiter.com/debs/libcairo-script-interpreter2_1.16.0-3+ios1_iphoneos-arm64.deb
libcairo2	1.16.0-3+ios1	980	522108	maxleiter	https://repo.maxleiter.com/debs/libcairo2_1.16.0-3+ios1_iphoneos-arm64.deb
libcrypt2	4.4.36	252	102906	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libxcrypt/libcrypt2_4.4.36_iphoneos-arm64.deb
libcurl4	8.20.0+ios1	724	327560	maxleiter	https://repo.maxleiter.com/debs/libcurl4_8.20.0+ios1_iphoneos-arm64.deb
libedit0	3.1-20230828	216	82184	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libedit/libedit0_3.1-20230828_iphoneos-arm64.deb
libeditorconfig0	0.12.11+ios1	104	10772	maxleiter	https://repo.maxleiter.com/debs/libeditorconfig0_0.12.11+ios1_iphoneos-arm64.deb
libenchant-2-2	2.6.1+ios1	264	28560	maxleiter	https://repo.maxleiter.com/debs/libenchant-2-2_2.6.1+ios1_iphoneos-arm64.deb
libepoll-shim0	0.0.20240608+ios1	124	20742	maxleiter	https://repo.maxleiter.com/debs/libepoll-shim0_0.0.20240608+ios1_iphoneos-arm64.deb
libepoxy0	1.5.7+angle1	860	192494	maxleiter	https://repo.maxleiter.com/debs/libepoxy0_1.5.7+angle1_iphoneos-arm64.deb
libfcft4	3.3.3+ios1	192	55634	maxleiter	https://repo.maxleiter.com/debs/libfcft4_3.3.3+ios1_iphoneos-arm64.deb
libffi-dev	3.4.6	128	30558	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libffi/libffi-dev_3.4.6_iphoneos-arm64.deb
libffi8	3.4.6	108	8434	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libffi/libffi8_3.4.6_iphoneos-arm64.deb
libfontconfig1	2.17.1+ios1	380	166218	maxleiter	https://repo.maxleiter.com/debs/libfontconfig1_2.17.1+ios1_iphoneos-arm64.deb
libfreetype6	2.13.3+ios1	608	324240	maxleiter	https://repo.maxleiter.com/debs/libfreetype6_2.13.3+ios1_iphoneos-arm64.deb
libfribidi0	1.0.10	200	33344	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libfribidi/libfribidi0_1.0.10_iphoneos-arm64.deb
libgdk-pixbuf-2.0-0	2.42.12+ios1	312	94624	maxleiter	https://repo.maxleiter.com/debs/libgdk-pixbuf-2.0-0_2.42.12+ios1_iphoneos-arm64.deb
libgl1-mesa-glx	21.0.2+ios1	7140	1957196	maxleiter	https://repo.maxleiter.com/debs/libgl1-mesa-glx_21.0.2+ios1_iphoneos-arm64.deb
libglapi-mesa	21.0.2+ios1	248	35982	maxleiter	https://repo.maxleiter.com/debs/libglapi-mesa_21.0.2+ios1_iphoneos-arm64.deb
libglew2.2	2.2.0+ios1	556	161158	maxleiter	https://repo.maxleiter.com/debs/libglew2.2_2.2.0+ios1_iphoneos-arm64.deb
libglib2.0-0	2.78.0+ios1	13616	3276912	maxleiter	https://repo.maxleiter.com/debs/libglib2.0-0_2.78.0+ios1_iphoneos-arm64.deb
libglib2.0-bin	2.78.0+ios1	832	265912	maxleiter	https://repo.maxleiter.com/debs/libglib2.0-bin_2.78.0+ios1_iphoneos-arm64.deb
libglu1-mesa	9.0.1+ios1	316	136674	maxleiter	https://repo.maxleiter.com/debs/libglu1-mesa_9.0.1+ios1_iphoneos-arm64.deb
libgmp10	6.3.0	576	292398	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libgmp10/libgmp10_6.3.0_iphoneos-arm64.deb
libgraphene-1.0-0	1.10.8+ios1	148	34002	maxleiter	https://repo.maxleiter.com/debs/libgraphene-1.0-0_1.10.8+ios1_iphoneos-arm64.deb
libgraphite2-3	1.3.14+ios1	200	71640	maxleiter	https://repo.maxleiter.com/debs/libgraphite2-3_1.3.14+ios1_iphoneos-arm64.deb
libgtk-3-0	3.24.38+ios3	36384	9126378	maxleiter	https://repo.maxleiter.com/debs/libgtk-3-0_3.24.38+ios3_iphoneos-arm64.deb
libgtk-4-1	4.14.5+wl1	23844	4500540	maxleiter	https://repo.maxleiter.com/debs/libgtk-4-1_4.14.5+wl1_iphoneos-arm64.deb
libgtkintl	1.1	296	200114	maxleiter	https://repo.maxleiter.com/debs/libgtkintl_1.1_iphoneos-arm64.deb
libgtksourceview-5-0	5.12.1+ios1	6380	1146246	maxleiter	https://repo.maxleiter.com/debs/libgtksourceview-5-0_5.12.1+ios1_iphoneos-arm64.deb
libharfbuzz0b	10.2.0+ios2	1016	378640	maxleiter	https://repo.maxleiter.com/debs/libharfbuzz0b_10.2.0+ios2_iphoneos-arm64.deb
libicu74	74.2+ios1	34860	13450192	maxleiter	https://repo.maxleiter.com/debs/libicu74_74.2+ios1_iphoneos-arm64.deb
libintl-dev	0.22	460	207398	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/gettext/libintl-dev_0.22_iphoneos-arm64.deb
libintl8	0.22	208	86754	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/gettext/libintl8_0.22_iphoneos-arm64.deb
libiosexec1	1.3.1	76	9308	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libiosexec/libiosexec1_1.3.1_iphoneos-arm64.deb
libjpeg62-turbo	3.1.1+ios1	592	197360	maxleiter	https://repo.maxleiter.com/debs/libjpeg62-turbo_3.1.1+ios1_iphoneos-arm64.deb
liblz4-1	1.9.4	164	63980	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/lz4/liblz4-1_1.9.4_iphoneos-arm64.deb
liblzma5	5.4.4	232	116690	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/xz/liblzma5_5.4.4_iphoneos-arm64.deb
liblzo2-2	2.10	180	48360	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/liblzo2/liblzo2-2_2.10_iphoneos-arm64.deb
libncursesw6	6.4	776	394740	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/ncurses/libncursesw6_6.4_iphoneos-arm64.deb
libnghttp2-14	1.61.0+ios1	228	74380	maxleiter	https://repo.maxleiter.com/debs/libnghttp2-14_1.61.0+ios1_iphoneos-arm64.deb
libpam-modules	1000.0	616	42124	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/pam-modules/libpam-modules_1000.0_iphoneos-arm64.deb
libpam2	20230627	104	20118	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/openpam/libpam2_20230627_iphoneos-arm64.deb
libpango-1.0-0	1.50.14+ios1	756	249914	maxleiter	https://repo.maxleiter.com/debs/libpango-1.0-0_1.50.14+ios1_iphoneos-arm64.deb
libpcre1	8.45-1	460	156180	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/pcre/libpcre1_8.45-1_iphoneos-arm64.deb
libpcre2-8-0	10.43	556	197948	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/pcre2/libpcre2-8-0_10.43_iphoneos-arm64.deb
libpixman-1-0	0.42.2+ios1	380	135590	maxleiter	https://repo.maxleiter.com/debs/libpixman-1-0_0.42.2+ios1_iphoneos-arm64.deb
libpng16-16	1.6.50+ios1	248	101510	maxleiter	https://repo.maxleiter.com/debs/libpng16-16_1.6.50+ios1_iphoneos-arm64.deb
libpsl5	0.21.5+ios1	152	62288	maxleiter	https://repo.maxleiter.com/debs/libpsl5_0.21.5+ios1_iphoneos-arm64.deb
libreadline8	8.2.0-1	428	135250	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/readline/libreadline8_8.2.0-1_iphoneos-arm64.deb
librsvg2-2	2.56.5+ios1	3908	1591926	maxleiter	https://repo.maxleiter.com/debs/librsvg2-2_2.56.5+ios1_iphoneos-arm64.deb
librsvg2-common	2.56.5+ios1	156	35742	maxleiter	https://repo.maxleiter.com/debs/librsvg2-common_2.56.5+ios1_iphoneos-arm64.deb
libssl3	3.2.1	5056	2202960	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/openssl/libssl3_3.2.1_iphoneos-arm64.deb
libtiff5	4.2.0	500	135394	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libtiff/libtiff5_4.2.0_iphoneos-arm64.deb
libutf8proc3	2.9.0+ios1	396	88554	maxleiter	https://repo.maxleiter.com/debs/libutf8proc3_2.9.0+ios1_iphoneos-arm64.deb
libuuid16	1.6.2-3+ios1	108	23746	maxleiter	https://repo.maxleiter.com/debs/libuuid16_1.6.2-3+ios1_iphoneos-arm64.deb
libwayland-dev	1.23.1+ios1	808	89770	maxleiter	https://repo.maxleiter.com/debs/libwayland-dev_1.23.1+ios1_iphoneos-arm64.deb
libwayland0	1.23.1+ios1	392	47870	maxleiter	https://repo.maxleiter.com/debs/libwayland0_1.23.1+ios1_iphoneos-arm64.deb
libx11-6	1.7.3.1+ios1	1152	559896	maxleiter	https://repo.maxleiter.com/debs/libx11-6_1.7.3.1+ios1_iphoneos-arm64.deb
libx11-data	1.7.3.1+ios1	1852	168440	maxleiter	https://repo.maxleiter.com/debs/libx11-data_1.7.3.1+ios1_all.deb
libxau6	1.0.9-1+ios1	64	9386	maxleiter	https://repo.maxleiter.com/debs/libxau6_1.0.9-1+ios1_iphoneos-arm64.deb
libxcb-render0	1.14+ios1	132	24226	maxleiter	https://repo.maxleiter.com/debs/libxcb-render0_1.14+ios1_iphoneos-arm64.deb
libxcb-shm0	1.14	84	14782	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libxcb/libxcb-shm0_1.14_iphoneos-arm64.deb
libxcb-xkb1	1.14+ios1	184	38302	maxleiter	https://repo.maxleiter.com/debs/libxcb-xkb1_1.14+ios1_iphoneos-arm64.deb
libxcb1	1.14+ios1	192	53334	maxleiter	https://repo.maxleiter.com/debs/libxcb1_1.14+ios1_iphoneos-arm64.deb
libxcomposite1	0.4.6+ios1	92	5150	maxleiter	https://repo.maxleiter.com/debs/libxcomposite1_0.4.6+ios1_iphoneos-arm64.deb
libxcursor1	1.2.0+ios1	112	17630	maxleiter	https://repo.maxleiter.com/debs/libxcursor1_1.2.0+ios1_iphoneos-arm64.deb
libxdamage1	1.1.5+ios1	64	5014	maxleiter	https://repo.maxleiter.com/debs/libxdamage1_1.1.5+ios1_iphoneos-arm64.deb
libxdmcp6	1.1.3+ios1	60	9868	maxleiter	https://repo.maxleiter.com/debs/libxdmcp6_1.1.3+ios1_iphoneos-arm64.deb
libxext6	1.3.4-1+ios1	128	26544	maxleiter	https://repo.maxleiter.com/debs/libxext6_1.3.4-1+ios1_iphoneos-arm64.deb
libxfixes3	6.0.1+ios1	112	8646	maxleiter	https://repo.maxleiter.com/debs/libxfixes3_6.0.1+ios1_iphoneos-arm64.deb
